Race,TPR,FPR,FNR,TNR
East Asian,0.7464607464607464,0.23803363518758086,0.25353925353925355,0.7619663648124192
White,0.8556149732620321,0.31879543094496365,0.1443850267379679,0.6812045690550363
Latino_Hispanic,0.8461538461538461,0.3409638554216867,0.15384615384615385,0.6590361445783133
Southeast Asian,0.7687074829931972,0.3029411764705882,0.23129251700680273,0.6970588235294117
Black,0.851063829787234,0.5772787318361955,0.14893617021276595,0.4227212681638045
Indian,0.8658698539176627,0.40104849279161203,0.1341301460823373,0.598951507208388
Middle Eastern,0.8659286592865929,0.3484848484848485,0.13407134071340712,0.6515151515151515
